Timestamp_Hrly	Dom_Wind_Direction_Hrly	ENV__Dur_(Hrs)_Hrly	Outside_Temp_(°F)_Hrly-Ave	Wind_Chill_(°F)_Hrly-Ave	Heat_Index_(°F)_Hrly-Ave	Dew_Point_(°F)_Hrly-Ave	Outside_Humidity_(%)_Hrly-Ave	Wind_Speed_(mph)_Hrly-Ave	Rain_Rate_(in/hr)_Hrly-Ave	Barometer_(inHg)_Hrly-Ave	Solar_Radiance_(W/m2)_Hrly-Ave	Gr_Roof_Temp_(°F)_Hrly-Ave	Wh_Roof_Temp_(°F)_Hrly-Ave	Outside_Temp_(°F)_Hrly-Min	Wind_Chill_(°F)_Hrly-Min	Heat_Index_(°F)_Hrly-Min	Dew_Point_(°F)_Hrly-Min	Outside_Humidity_(%)_Hrly-Min	Wind_Speed_(mph)_Hrly-Min	Rain_Rate_(in/hr)_Hrly-Min	Barometer_(inHg)_Hrly-Min	Solar_Radiance_(W/m2)_Hrly-Min	Gr_Roof_Temp_(°F)_Hrly-Min	Wh_Roof_Temp_(°F)_Hrly-Min	Outside_Temp_(°F)_Hrly-Max	Wind_Chill_(°F)_Hrly-Max	Heat_Index_(°F)_Hrly-Max	Dew_Point_(°F)_Hrly-Max	Outside_Humidity_(%)_Hrly-Max	Wind_Speed_(mph)_Hrly-Max	Rain_Rate_(in/hr)_Hrly-Max	Barometer_(inHg)_Hrly-Max	Solar_Radiance_(W/m2)_Hrly-Max	Gr_Roof_Temp_(°F)_Hrly-Max	Wh_Roof_Temp_(°F)_Hrly-Max
9:00:00.000 PM 9/2/2015		1.000761	79.715476	79.715476	83.354563	71.524733	76.136905	0.634921	0.000000	28.241736	0.000000	81.100322	70.430390	78.800003	78.800003	82.199997	71.266502	74.000000	0.000000	0.000000	16.684000	0.000000	80.481162	68.710730	80.800003	80.800003	84.800003	71.938705	78.000000	5.000000	0.000000	29.865999	0.000000	81.722959	71.725599
10:00:00.000 PM 9/2/2015		0.999026	77.890258	77.890258	81.183499	71.104249	79.697813	0.174950	0.000000	23.295507	0.000000	79.885020	67.341468	76.900002	76.900002	80.099998	70.719261	78.000000	0.000000	0.000000	16.683001	0.000000	79.274928	65.035563	78.800003	78.800003	82.199997	71.441368	82.000000	4.000000	0.000000	27.554001	0.000000	80.486114	69.336977
11:00:00.000 PM 9/2/2015		1.000062	76.169124	76.169124	79.315338	70.751585	83.360558	0.575697	0.000000	27.561277	0.000000	78.703262	66.124222	75.400002	75.400002	78.500000	70.421814	82.000000	0.000000	0.000000	16.688000	0.000000	78.136445	65.026542	76.900002	76.900002	80.099998	71.144951	85.000000	4.000000	0.000000	29.858000	0.000000	79.306890	67.254825
12:00:00.000 AM 9/3/2015		1.000533	75.133932	75.133932	78.120287	70.313111	85.000000	1.021544	0.000000	27.846753	0.000000	77.643302	66.528395	74.699997	74.699997	77.500000	69.887825	85.000000	0.000000	0.000000	16.686001	0.000000	77.061211	65.742543	75.400002	75.400002	78.500000	70.573875	85.000000	7.000000	0.000000	29.858000	0.000000	78.152426	67.445608
1:00:00.000 AM 9/3/2015		0.993405	74.125845	74.125845	76.580676	69.892819	86.666667	0.973430	0.000000	29.852711	0.000000	76.675674	65.684085	73.500000	73.500000	75.800003	69.587860	85.000000	0.000000	0.000000	29.841999	0.000000	76.134533	64.634152	74.699997	74.699997	77.500000	70.231041	88.000000	7.000000	0.000000	29.853001	0.000000	77.080793	66.723745
2:00:00.000 AM 9/3/2015		1.006306	73.122223	73.122223	75.489334	69.576006	88.671111	0.611111	0.000000	27.649813	0.000000	75.639337	65.253970	72.900002	72.900002	75.300003	69.332214	88.000000	0.000000	0.000000	16.655001	0.000000	75.249722	64.120661	73.500000	73.500000	75.800003	69.860161	89.000000	5.000000	0.000000	29.841999	0.000000	76.130257	66.076977
3:00:00.000 AM 9/3/2015		1.000154	73.119000	73.119000	75.482000	69.591730	88.728000	0.680000	0.000000	27.140606	0.000000	74.891235	65.309300	72.500000	72.500000	74.800003	69.071587	88.000000	0.000000	0.000000	16.655001	0.000000	74.529898	64.376166	73.400002	73.400002	75.800003	69.958725	89.000000	5.000000	0.000000	29.841000	0.000000	75.265703	66.569720
4:00:00.000 AM 9/3/2015		0.999762	72.209978	72.209978	74.477047	69.083361	89.912176	0.666667	0.000000	25.003585	0.000000	74.172118	64.584949	72.099998	72.099998	74.300003	68.775864	89.000000	0.000000	0.000000	16.655001	0.000000	73.797019	63.737968	72.500000	72.500000	74.800003	69.299614	90.000000	5.000000	0.000000	28.191999	0.000000	74.564336	65.379018
5:00:00.000 AM 9/3/2015		0.999320	72.198411	72.198411	74.407342	68.890823	89.357143	0.714286	0.000000	24.075490	0.000000	73.499582	64.093653	72.099998	72.099998	74.199997	68.677292	89.000000	0.000000	0.000000	17.118999	0.000000	73.176008	63.150509	72.300003	72.300003	74.599998	69.200912	90.000000	5.000000	0.000000	29.839001	0.000000	73.830107	64.873194
6:00:00.000 AM 9/3/2015		1.001651	71.398409	71.398409	73.579125	68.310644	90.001988	0.011928	0.000000	29.847038	0.000000	72.834947	62.403154	70.400002	70.400002	72.599998	67.621536	89.000000	0.000000	0.000000	29.837999	0.000000	72.399237	61.442482	72.099998	72.099998	74.300003	69.003487	91.000000	2.000000	0.000000	29.855000	0.000000	73.205494	64.311895
7:00:00.000 AM 9/3/2015		0.999184	69.855666	69.855666	72.091650	67.517400	92.298211	0.312127	0.000000	29.856032	23.646123	72.012729	62.342087	69.599998	69.599998	71.800003	67.171974	91.000000	0.000000	0.000000	29.851999	0.000000	71.695620	61.106469	70.400002	70.400002	72.599998	68.093987	94.000000	3.000000	0.000000	29.864000	51.000000	72.422196	63.791414
8:00:00.000 AM 9/3/2015		1.000489	70.845925	70.845925	73.398012	69.072121	94.127237	0.407555	0.000000	29.856839	130.542744	71.663616	65.780020	69.900002	69.900002	72.300003	68.093987	94.000000	0.000000	0.000000	29.853001	51.000000	71.612338	63.681139	72.500000	72.500000	75.199997	70.674248	95.000000	3.000000	0.000000	29.864000	237.000000	71.752341	67.879719
9:00:00.000 AM 9/3/2015		0.999492	75.236926	75.236926	78.378443	71.565607	88.467066	0.960080	0.000000	29.851150	324.954092	72.285246	70.645667	72.500000	72.500000	75.199997	70.458908	82.000000	0.000000	0.000000	29.847000	150.000000	71.742438	67.889641	78.000000	78.000000	81.800003	72.533882	94.000000	5.000000	0.000000	29.854000	408.000000	73.196716	73.817898
10:00:00.000 AM 9/3/2015		1.000699	80.359880	80.359880	85.102994	73.067244	78.558882	0.994012	0.000000	29.843643	481.231537	74.577102	79.009686	78.000000	78.000000	81.699997	72.056198	75.000000	0.000000	0.000000	29.839001	150.000000	73.196266	73.773021	82.500000	82.500000	89.099998	74.166595	82.000000	6.000000	0.000000	29.850000	633.000000	76.076461	84.727261
11:00:00.000 AM 9/3/2015		1.000367	84.382178	84.382178	92.225545	74.284217	71.837624	1.376238	0.000000	29.840206	584.811881	77.528657	94.173873	82.599998	82.599998	89.000000	73.564362	69.000000	0.000000	0.000000	29.833000	142.000000	76.074435	82.011196	86.400002	86.400002	95.800003	75.021622	75.000000	7.000000	0.000000	29.848000	761.000000	79.023057	106.816602
12:00:00.000 PM 9/3/2015		0.997977	88.354582	88.352789	97.801992	74.658596	64.121514	2.235060	0.000000	29.826189	652.868526	80.644050	112.694913	86.400002	86.400002	95.599998	73.626984	61.000000	0.000000	0.000000	29.809000	150.000000	79.029359	105.844194	89.900002	89.900002	100.400002	75.441910	69.000000	9.000000	0.000000	29.834999	916.000000	82.284548	123.239505
1:00:00.000 PM 9/3/2015		1.001791	86.910020	86.888577	94.802806	73.278436	64.052104	3.054108	0.000000	29.805062	220.108216	82.844496	98.430627	85.000000	84.400002	91.099998	71.912849	61.000000	0.000000	0.000000	29.801001	91.000000	82.283647	89.810074	89.099998	89.099998	98.500000	74.380127	66.000000	11.000000	0.000000	29.809999	404.000000	83.043987	106.180207
2:00:00.000 PM 9/3/2015		0.998197	84.241435	84.241037	90.714343	72.579423	68.133466	1.209163	0.000000	29.803562	112.778884	82.485992	87.788978	83.699997	83.699997	90.099998	71.890190	66.000000	0.000000	0.000000	29.796000	72.000000	82.148596	86.376204	85.000000	85.000000	91.500000	73.062805	70.000000	8.000000	0.000000	29.808001	137.000000	82.881250	90.517053
3:00:00.000 PM 9/3/2015		1.000213	81.849007	81.849007	86.768849	71.552764	71.087302	0.587302	0.000000	29.794998	154.295635	82.107436	85.643486	78.500000	78.500000	81.000000	68.694099	69.000000	0.000000	0.000000	29.789000	76.000000	81.981808	83.392005	83.699997	83.699997	91.000000	74.024704	73.000000	6.000000	0.000000	29.799000	225.000000	82.176507	87.479634
4:00:00.000 PM 9/3/2015		1.001338	78.098217	78.098217	80.710495	69.365911	74.605941	0.788119	0.000000	29.780131	196.520792	81.776096	84.502310	77.599998	77.599998	80.300003	68.736671	73.000000	0.000000	0.000000	29.767000	141.000000	81.650707	81.633012	78.500000	78.500000	81.000000	70.201714	77.000000	6.000000	0.000000	29.794001	262.000000	81.995313	86.613443
5:00:00.000 PM 9/3/2015		0.998772	74.647619	74.624603	76.985714	68.354659	80.906746	1.853175	0.317778	29.783095	61.507937	81.008785	72.132971	71.599998	71.599998	73.599998	67.727615	75.000000	0.000000	0.000000	29.768999	7.000000	79.285057	67.347285	77.599998	77.599998	80.300003	69.431610	88.000000	11.000000	2.780000	29.802999	146.000000	81.675241	81.771251
6:00:00.000 PM 9/3/2015		0.999896	69.848413	69.436706	71.955357	67.098033	90.998016	3.206349	0.332004	30.022438	4.317460	77.593161	65.955267	68.500000	64.699997	70.400002	65.965706	88.000000	0.000000	0.050000	29.784000	0.000000	75.886039	64.723905	71.599998	71.599998	73.599998	68.213814	92.000000	19.000000	2.770000	31.427000	16.000000	79.279430	67.522959
7:00:00.000 PM 9/3/2015		1.001508	67.820279	67.816104	69.625248	65.919002	93.642147	1.335984	0.074871	29.791658	0.000000	75.196394	64.444837	67.199997	67.199997	68.900002	65.513611	92.000000	0.000000	0.040000	29.778000	0.000000	74.655721	64.077588	68.500000	68.500000	70.500000	66.395332	95.000000	8.000000	0.180000	29.808001	0.000000	75.893467	64.993167
8:00:00.000 PM 9/3/2015		1.000016	67.302184	67.302184	69.017659	65.879952	95.196429	0.890873	0.047381	29.770147	0.000000	74.164133	63.990747	67.199997	67.199997	68.900002	65.719048	95.000000	0.000000	0.000000	29.764000	0.000000	73.751102	63.691738	67.500000	67.500000	69.300003	66.319450	96.000000	6.000000	0.090000	29.778999	0.000000	74.657747	64.244693
9:00:00.000 PM 9/3/2015		0.999191	67.398203	67.396806	69.148105	66.218160	96.000000	0.930140	0.028802	29.523743	0.000000	73.437608	64.331062	66.800003	66.800003	68.400002	65.622932	96.000000	0.000000	0.000000	28.150000	0.000000	73.116360	63.956714	67.599998	67.599998	69.400002	66.418953	96.000000	8.000000	0.380000	29.811001	0.000000	73.784639	64.621749
10:00:00.000 PM 9/3/2015		0.998894	66.417296	66.417296	67.949305	65.285348	96.145129	0.858847	0.279304	29.823285	0.000000	72.627976	63.714369	66.099998	66.099998	67.599998	65.025902	96.000000	0.000000	0.000000	29.809000	0.000000	71.834948	63.246352	66.800003	66.800003	68.400002	65.622932	97.000000	6.000000	2.920000	29.837000	0.000000	73.113209	64.033614
11:00:00.000 PM 9/3/2015		1.000475	65.922556	65.917566	67.334132	65.047363	97.000000	1.646707	0.020838	29.819968	0.000000	71.182437	62.816666	65.699997	64.599998	67.099998	64.825630	97.000000	0.000000	0.000000	29.811001	0.000000	70.756112	62.436989	66.099998	66.099998	67.599998	65.224152	97.000000	9.000000	0.250000	29.836000	0.000000	71.836748	63.367451
12:00:00.000 AM 9/4/2015		1.001358	65.940401	65.935201	67.369199	65.065142	97.000000	1.330000	0.034420	29.089554	0.000000	70.493317	62.728454	65.699997	63.799999	67.099998	64.825630	97.000000	0.000000	0.000000	17.214001	0.000000	70.226261	62.376778	66.199997	66.199997	67.699997	65.323776	97.000000	10.000000	0.370000	29.844999	0.000000	70.774119	63.114653
1:00:00.000 AM 9/4/2015		0.999102	66.576959	66.567051	68.181106	65.886820	97.633641	2.580645	0.000000	29.838078	0.000000	70.053843	63.614343	66.199997	65.400002	67.699997	65.323776	97.000000	0.000000	0.000000	29.830000	0.000000	69.860272	62.739852	66.900002	66.900002	68.599998	66.317261	98.000000	9.000000	0.000000	29.844999	0.000000	70.238415	64.112768
2:00:00.000 AM 9/4/2015		1.000691	67.110212	67.089361	68.853404	66.526958	98.000000	4.174468	0.000000	29.832674	0.000000	69.721142	64.296622	66.900002	65.599998	68.599998	66.317261	98.000000	0.000000	0.000000	29.830000	0.000000	69.600748	63.730075	67.300003	67.300003	69.099998	66.716286	98.000000	9.000000	0.000000	29.840000	0.000000	69.864548	64.726386
3:00:00.000 AM 9/4/2015		1.000267	67.591036	67.574104	69.450596	67.006603	98.000000	3.531873	0.000000	29.838767	0.000000	69.528531	65.178465	67.300003	66.199997	69.099998	66.716286	98.000000	0.000000	0.000000	29.833000	0.000000	69.456243	64.634603	67.900002	67.900002	69.800003	67.314804	98.000000	9.000000	0.000000	29.844999	0.000000	69.640138	65.422541
4:00:00.000 AM 9/4/2015		0.999249	67.846233	67.840677	69.746230	67.261170	98.000000	3.470238	0.000000	29.843912	0.000000	69.432150	65.339671	67.699997	66.400002	69.599998	67.115295	98.000000	0.000000	0.000000	29.841000	0.000000	69.363508	65.177635	67.900002	67.900002	69.800003	67.314804	98.000000	9.000000	0.000000	29.847000	0.000000	69.491356	65.485008
5:00:00.000 AM 9/4/2015		1.000478	67.286904	67.285515	69.074602	66.703217	98.000000	2.906746	0.000000	29.843988	0.000000	69.334920	64.164136	66.800003	66.800003	68.500000	66.217514	98.000000	0.000000	0.000000	29.841999	0.000000	69.245788	62.881022	67.699997	67.699997	69.599998	67.115295	98.000000	8.000000	0.000000	29.846001	0.000000	69.418654	65.263330
6:00:00.000 AM 9/4/2015		0.998618	66.522818	66.517858	68.114683	65.941006	98.000000	2.361111	0.000000	29.852403	0.000000	69.114764	61.845832	66.199997	65.199997	67.699997	65.618973	98.000000	0.000000	0.000000	29.841999	0.000000	68.907259	60.584409	66.900002	66.900002	68.599998	66.317261	98.000000	9.000000	0.000000	29.863001	0.000000	69.263795	63.205534
7:00:00.000 AM 9/4/2015		1.001744	66.211554	66.211554	67.716334	65.630501	98.000000	0.912351	0.000000	29.869871	24.258964	68.782760	61.233213	66.099998	66.099998	67.599998	65.519218	98.000000	0.000000	0.000000	29.863001	0.000000	68.644134	60.047691	66.400002	66.400002	68.000000	65.818489	98.000000	5.000000	0.000000	29.878000	47.000000	68.957003	62.029264
8:00:00.000 AM 9/4/2015		1.000192	66.837030	66.834653	68.509505	66.254446	98.000000	1.831683	0.000000	29.885683	93.526733	68.650647	64.852144	66.400002	66.400002	68.000000	65.818489	98.000000	0.000000	0.000000	29.877001	47.000000	68.601143	61.570122	67.300003	67.300003	69.099998	66.716286	98.000000	8.000000	0.000000	29.896000	151.000000	68.756452	68.195661
9:00:00.000 AM 9/4/2015		0.999377	67.827434	67.826043	69.786084	67.208672	97.886680	2.103380	0.000000	29.898644	172.234592	68.984132	70.970326	67.300003	66.900002	69.099998	66.716286	97.000000	0.000000	0.000000	29.895000	83.000000	68.734393	68.074787	68.599998	68.599998	71.000000	68.013084	98.000000	8.000000	0.000000	29.905001	362.000000	69.307236	75.428053
